Sparkasse Hameln-Weserbergland - Beratungszentrum Aerzen,Sparkasse Hameln-Weserbergland - Beratungszentrum Aerzen,31855,9.2634643,52.0475193,25450110
Kreissparkasse Verden - Geschäftsstelle Achim,Sparkasse Filiale Achim,28832,9.03655614,53.0114437,29152670
Sparkasse Neckartal-Odenwald - Geschäftsstelle Aglasterhausen,Sparkasse Filiale Aglasterhausen,74858,8.9917073,49.3539131,67450048
Sparkasse Landshut - Geschäftsstelle Adlkofen,Sparkasse Filiale Adlkofen,84166,12.2623572,48.5464823,74350000
Kreissparkasse Ludwigsburg - Filiale Affalterbach (Marbacher Straße),Sparkasse Filiale Affalterbach (Marbacher Straße),71563,9.32308,48.92283,60450050
Kreissparkasse Ahrweiler - Beratungs-Center Adenau,Sparkasse Filiale Adenau,53518,6.92946,50.38236,57751310
Sparkasse Offenburg/Ortenau - Geschäftsstelle Oberachern,Sparkasse Filiale Oberachern,77855,8.08346449,48.6171602,66450050
"Sparkasse Westmünsterland  - Beratungs-Center Ahaus, Am Stadtpark","Sparkasse Filiale Ahaus, Am Stadtpark",48683,7.0017931,52.0851373,40154530
Sparkasse Aichach-Schrobenhausen - Filiale Affing,Sparkasse Filiale Affing,86444,10.9812191,48.4584513,72051210
"Sparkasse Westmünsterland  - SB-Filiale Ahaus, Coesfelder Straße","Sparkasse SB-Center Ahaus, Coesfelder Straße",48683,7.0099566,52.0681516,40154530
Sparkasse Münsterland Ost - BeratungsCenter Ahlen Hansaplatz,Sparkasse Filiale Ahlen Hansaplatz,59229,7.90698051,51.7617842,40050150
Sparkasse Westmünsterland  - Beratungs-Center Wessum,Sparkasse Filiale Wessum,48683,6.975603,52.0921248,40154530
Sparkasse Westmünsterland  - S-Immobiliencenter Ahaus,Sparkasse Immobiliencenter Ahaus,48683,7.0077187,52.0770008,40154530
Sparkasse Münsterland Ost - ImmobilienCenter Ahlen,Sparkasse Immobiliencenter Ahlen,59229,7.8972656,51.7633357,40050150
Kreissparkasse Stade - Filiale Ahlerstedt,Sparkasse Filiale Ahlerstedt,21702,9.4509281,53.4042557,24151116
Sparkasse Westmünsterland  - SB-Filiale Graes,Sparkasse SB-Center Graes,48683,6.98678909,52.124453,40154530
,,0,0,0,0
,,0,0,0,0
Sparkasse Münsterland Ost - SB-Filiale Vorhelm ,Sparkasse Geldautomat Vorhelm ,59227,7.94616,51.80596,40050150
Sparkasse Vorpommern - S-Beratungs-Center Ahlbeck,Sparkasse Vermögensmanagement Ahlbeck,17419,14.18826,53.9424,15050500
Sparkasse Bayreuth  - SB-Geschäftsstelle Kirchahorn,Sparkasse Bayreuth  - SB-Geschäftsstelle Kirchahorn,95491,11.40594,49.83561,77350110
Sparkasse Münsterland Ost - SB-Filiale Ahlen-Warendorfer Straße,Sparkasse Geldautomat Ahlen-Warendorfer Straße,59227,7.89675,51.77323,40050150
Sparkasse Münsterland Ost - SB-Filiale Dolberg,Sparkasse Geldautomat Dolberg,59229,7.9206204,51.7098765,40050150
Kasseler Sparkasse - BeratungsCenter Ahnatal,Sparkasse Filiale Ahnatal,34292,9.3925469,51.3650786,52050353
Kreissparkasse Ahrweiler - Geschäftsstelle Ahrbrück,Sparkasse Filiale Ahrbrück,53506,6.971684,50.487899,57751310
Sparkasse Holstein - Private Banking Ahrensburg,Sparkasse Private Banking Ahrensburg,22926,10.2371203,53.6722797,21352240
Sparkasse Holstein - Filiale Ahrensbök,Sparkasse Filiale Ahrensbök,23623,10.5742122,54.0096074,21352240
Sparkasse Holstein - Filiale Ahrensburg,Sparkasse Filiale Ahrensburg,22926,10.2371783,53.6723034,21352240
Hamburger Sparkasse - Filiale Ahrensburg,Hamburger Sparkasse - Filiale Ahrensburg,22926,10.23733,53.67412,20050550
Sparkasse Aichach-Schrobenhausen - Private Banking Aichach,Sparkasse Aichach-Schrobenhausen - Private Banking Aichach,86551,11.1320408,48.461583,72051210
Sparkasse Holstein - SIG-Holstein Ahrensburg,Sparkasse Immobiliencenter Ahrensburg,22926,10.2371783,53.6723034,21352240
Sparkasse Barnim - SB-Stelle Lindenberg,Sparkasse Barnim - SB-Stelle Lindenberg,16356,13.5217681,52.6008328,17052000
Sparkasse Barnim - Geschäftsstelle Ahrensfelde,Sparkasse Filiale Ahrensfelde,16356,13.5748899,52.5766299,17052000
Sparkasse Aichach-Schrobenhausen - Filiale Stadtplatz,Sparkasse Filiale Stadtplatz,86551,11.13022,48.45863,72051210
Sparkasse Vorpommern - SB-Filiale Ahrenshoop,Sparkasse Vorpommern - SB-Filiale Ahrenshoop,18437,12.4162315,54.378232,15050500
Kreissparkasse Rottweil - Geschäftsstelle Aichhalden,Kreissparkasse Rottweil - Geschäftsstelle Aichhalden,78733,8.4018977,48.2681414,64250040
Kreissparkasse Böblingen - Filiale Aidlingen,Kreissparkasse Böblingen - Filiale Aidlingen,71134,8.89894,48.67856,60350130
,,0,0,0,0
Kreissparkasse Esslingen-Nürtingen - SB-Filiale Neuenhaus (SB-Filiale),Sparkasse SB-Center Neuenhaus (SB-Filiale),72631,9.20721,48.62365,61150020
Sparkasse Aichach-Schrobenhausen - Filiale Aindling,Sparkasse Filiale Aindling,86447,10.95543,48.51262,72051210
Kreissparkasse Böblingen - SB-Stelle Deufringen,Kreissparkasse Böblingen - SB-Stelle Deufringen,71134,8.8674119,48.6805499,60350130
Kreissparkasse Esslingen-Nürtingen - Filiale Aich,Sparkasse Filiale Aich,72631,9.24059134,48.6236704,61150020
Kreissparkasse Esslingen-Nürtingen - Filiale Aichwald,Sparkasse Filiale Aichwald,73773,9.37698,48.75831,61150020
Kreissparkasse Ravensburg - Filiale Aichstetten,Sparkasse Filiale Aichstetten,88317,10.0794475,47.8950394,65050110
Sparkasse Berchtesgadener Land - Geschäftsstelle Ainring-Mitterfelden,Sparkasse Berchtesgadener Land - Geschäftsstelle Ainring-Mitterfelden,83404,12.9509987,47.8146344,71050000
Kreissparkasse Kelheim - SB-Center Aiglsbach,Sparkasse SB-Center Aiglsbach,84089,11.7116887,48.6923784,75051565
Kreissparkasse Rottweil - Geschäftsstelle Aistaig,Kreissparkasse Rottweil - Geschäftsstelle Aistaig,78727,8.56995,48.31655,64250040
